"X(um)";"Z(um)"
"2430,008 ";"1588,355 "
"2432,798 ";"1585,433 "
"2435,588 ";"1584,242 "
"2438,378 ";"1584,291 "
"2441,168 ";"1590,578 "
"2443,958 ";"1596,844 "
"2446,748 ";"1603,547 "
"2449,537 ";"1610,503 "
"2452,327 ";"1618,117 "
"2455,117 ";"1627,675 "
"2457,907 ";"1626,444 "
"2460,697 ";"1627,488 "
"2463,487 ";"1629,681 "
"2466,277 ";"1633,124 "
"2469,067 ";"1638,013 "
"2471,857 ";"1640,651 "
"2474,647 ";"1641,118 "
"2477,437 ";"1641,597 "
"2480,226 ";"1643,523 "
"2483,016 ";"1647,668 "
"2485,806 ";"1647,306 "
"2488,596 ";"1643,335 "
"2491,386 ";"1640,519 "
"2494,176 ";"1637,991 "
"2496,966 ";"1636,330 "
"2499,756 ";"1635,007 "
"2502,546 ";"1634,966 "
"2505,336 ";"1635,858 "
"2508,125 ";"1637,821 "
"2510,915 ";"1638,491 "
"2513,705 ";"1636,082 "
"2516,495 ";"1625,905 "
"2519,285 ";"1622,697 "
"2522,075 ";"1624,464 "
"2524,865 ";"1629,423 "
"2527,655 ";"1634,718 "
"2530,445 ";"1637,511 "
"2533,235 ";"1637,341 "
"2536,025 ";"1635,017 "
"2538,814 ";"1634,341 "
"2541,604 ";"1633,028 "
"2544,394 ";"1628,497 "
"2547,184 ";"1622,193 "
"2549,974 ";"1617,226 "
"2552,764 ";"1610,709 "
"2555,554 ";"1597,723 "
"2558,344 ";"1584,132 "
"2561,134 ";"1585,390 "
"2563,924 ";"1585,932 "
"2566,714 ";"1585,106 "
"2569,503 ";"1592,292 "
"2572,293 ";"1611,051 "
"2575,083 ";"1622,830 "
"2577,873 ";"1630,062 "
"2580,663 ";"1634,915 "
"2583,453 ";"1638,285 "
"2586,243 ";"1641,455 "
"2589,033 ";"1645,054 "
"2591,823 ";"1649,238 "
"2594,613 ";"1654,154 "
"2597,402 ";"1660,242 "
